BankName,Rating,ServiceCharge,APY,MinBalance,EstEarnfor50000,APY_Value
Axos Bank,4.9,$0,4.66%,$0,$0,4.66
Elevault,4.6,$0,4.60%,$0,$0,4.6
Pibank,4.7,$0,4.60%,$0,$0,4.6
TIMBR,4.6,$0,4.40%,$0,$1k,4.4
Primis Bank,4.7,$0,4.35%,$0,$1,4.35
Bread Savings,3.9,$0,4.30%,$100,$100,4.3
EverBank,4.9,$0,4.30%,$0,$0,4.3
My Banking Direct,4.7,$0,4.30%,$1,$500,4.3
Rising Bank,3.6,—,4.30%,$1k,$1k,4.3
TAB Bank,4.8,$0,4.26%,$0,$0,4.26
Evergreen Bank Group,4.9,$0,4.25%,$0,$100,4.25
First Foundation Bank,4.9,$0,4.25%,$0,$1k,4.25
Western Alliance Bank,4.6,—,4.25%,$0,$1,4.25
Bask Bank,4.8,$0,4.20%,$0,$0,4.2
Jenius Bank,3.7,$0,4.20%,$0,$0,4.2
Colorado Federal Savings Bank,4.6,$0,4.20%,$1,$1,4.2
RBMAX,4.0,—,4.15%,$0,$10,4.15
CIBC Bank USA,4.9,$0,4.11%,$0,$1k,4.11
Live Oak Bank,4.8,$0,4.10%,$0,$0,4.1
SFGI Direct,4.3,$0,4.08%,$1,$500,4.08
MutualOne Bank,3.7,$0,4.07%,$20k,$20k,4.07
Popular Direct,4.8,$0,4.05%,$0,$100,4.05
Bank5 Connect,3.5,$0,4.05%,$25k,$25k,4.05
North American Savings Bank,4.2,$7.50,4.05%,$25k,$500,4.05
Prime Alliance Bank,4.8,$0,4.05%,$0,—,4.05
Upgrade,3.8,$0,4.02%,$1k,—,4.02
UFB Direct,4.5,$0,4.01%,$0,$0,4.01
The State Exchange Bank,4.6,—,4.00%,$0,$1,4.0
Communitywide Federal Credit Union,5.0,—,4.00%,$1,—,4.0
Wings Financial Credit Union,3.4,—,4.00%,$10k,$10k,4.0
ConnectOne Bank,3.8,$0,4.00%,$2.5k,$2.5k,4.0
Flagstar Bank,5.0,—,4.00%,$25k,—,4.0
E*TRADE from Morgan Stanley,4.8,$0,4.00%,$0,$0,4.0
ableBanking,4.6,—,4.00%,$0,$2.5k,4.0
Barclays,4.8,$0,3.90%,$0,$0,3.9
Sallie Mae Bank,4.8,$0,3.90%,$0,$0,3.9
SmartyPig,4.6,$0,3.90%,$0,—,3.9
Affirm,4.6,$0,3.85%,$0,$0,3.85
Amboy Direct,4.5,—,3.82%,$1,$1,3.82
Synchrony Bank,4.8,$0,3.80%,$0,$0,3.8
CNB Bank Direct,4.6,$0,3.80%,$1,$100,3.8
"Laurel Road, A Brand of KeyBank N.A.",4.6,$0,3.80%,$0,$0,3.8
Valley Direct,4.9,$0,3.75%,$0,$1,3.75
DollarSavingsDirect,4.6,$0,3.75%,$0,$1,3.75
MySavingsDirect,4.6,$0,3.75%,$0,$1,3.75
GreenState Credit Union,4.6,—,3.75%,$0,$1,3.75
First Technology Federal Credit Union,5.0,—,3.75%,$0,—,3.75
Lafayette Federal Credit Union,4.3,—,3.66%,$20k,$50,3.66
Marcus by Goldman Sachs,3.7,$0,3.65%,$0,$0,3.65
BMO Alto,3.5,$0,3.60%,$0,$0,3.6
Citi,3.6,$4.50,3.60%,$0,$0,3.6
Ally Bank,4.9,$0,3.50%,$0,$0,3.5
EmigrantDirect.com,4.6,$0,3.50%,$0,$1,3.5
Ideal Credit Union,3.4,—,3.45%,$25k,$25k,3.45
Seattle Bank,4.1,$10,3.40%,$0,$100,3.4
Gateway First Bank,4.1,$10,3.40%,$0,$1k,3.4
FNBO Direct,4.8,$0,3.35%,$0,$1,3.35
American Heritage Credit Union,2.0,$10,3.30%,$10k,$10k,3.3
Arizona Financial Credit Union,3.5,$0,3.25%,$10k,$10k,3.25
Digital Federal Credit Union (DCU),4.7,$0,3.25%,$0,$0,3.25
Northpointe Bank,3.8,—,3.25%,$25k,$100,3.25
Forbright Bank,4.8,$0,3.15%,$10k,$250,3.15
Alliant Credit Union,4.0,$1,3.10%,$100,$5,3.1
mph.bank,4.6,—,3.00%,$0,—,3.0
Abound Credit Union,5.0,—,2.96%,$0,—,2.96
PenFed Credit Union,4.7,$0,2.80%,$0,$5,2.8
OneAZ Credit Union,4.8,—,2.70%,$0,$100,2.7
First National Bank of America,3.4,—,2.51%,$1k,$1k,2.51
Chartway Federal Credit Union,4.0,—,2.50%,$100,—,2.5
Dow Credit Union,4.7,—,2.28%,$0,$0,2.28
Dover Federal Credit Union,4.0,—,2.00%,$0,—,2.0
Farmers Insurance Federal Credit Union,4.6,$0,2.00%,$0,$0,2.0
iGObanking,4.6,$0,1.50%,$0,$100,1.5
American Bank,4.8,$0,1.50%,$0,$1,1.5
Vantage West Credit Union,3.7,—,1.50%,$10k,$500,1.5
BankPurely,4.5,—,1.50%,$0,$100,1.5
United Nations Federal Credit Union,4.2,—,1.20%,$25k,—,1.2
Vio Bank,3.6,$0,1.10%,$100,$100,1.1
Achieva Credit Union,4.4,—,1.00%,$1,—,1.0
Elements Financial,4.9,$0,1.00%,$2.5k,$5,1.0
KS StateBank,3.9,$0,1.00%,$100,$100,1.0
Newtown Savings Bank,4.6,$0,1.00%,$0,$25,1.0
Affinity Federal Credit Union,4.5,$0,0.90%,$25k,$0,0.9
First International Bank & Trust,4.8,$2,0.85%,$0,$25,0.85
First Internet Bank,4.3,$0,0.81%,$0,$25,0.81
All In Credit Union (AL),4.2,—,0.80%,$0,$5,0.8
Chevron Federal Credit Union,4.3,—,0.75%,$25,$25,0.75
Credit Human,4.0,$0,0.75%,$100,$5,0.75
Bank of Colorado,4.0,$3,0.75%,$0,$200,0.75
Spectrum Credit Union,4.5,—,0.75%,$0,$25,0.75
Amalgamated Bank,4.4,—,0.70%,$0,—,0.7
CoVantage Credit Union,4.3,—,0.65%,$0,$10,0.65
BB Americas Bank,3.1,$5,0.55%,$1k,$1k,0.55
"UMB Bank, National Association",3.8,$25,0.55%,$0,$25k,0.55
Vibrant Credit Union,3.8,$0,0.50%,$0,$0,0.5
"FirstBank (Lakewood, CO)",4.2,$20,0.50%,$20k,—,0.5
MainStreet Bank,4.1,—,0.50%,$0,—,0.5
Amegy Bank,4.3,$4,0.45%,$25k,$50,0.45
Thrivent Federal Credit Union,4.0,$0,0.45%,$25k,$0,0.45
Paramount Bank (MO),4.1,—,0.40%,$0,$100,0.4
Northrop Grumman Federal Credit Union,3.7,$2,0.40%,$100,$5,0.4
OneUnited Bank,3.5,$5,0.40%,$100,$100,0.4
Greenwood Credit Union,4.6,—,0.35%,$1,$5,0.35
Velocity Credit Union,3.7,$0,0.30%,$1.5k,$5,0.3
Self-Help Credit Union,4.5,—,0.30%,$0,$5,0.3
Premier America Credit Union,4.1,—,0.30%,$0,—,0.3
Pen Air Credit Union,4.2,—,0.30%,$25k,$5,0.3
Boeing Employees Credit Union (BECU),4.6,—,0.30%,$0,—,0.3
Self-Help Federal Credit Union,3.7,$0,0.30%,$100,$5,0.3
Blue Federal Credit Union,4.1,—,0.30%,$0,$0,0.3
Utah First Federal Credit Union,4.6,—,0.25%,$2k,$5,0.25
Pennsylvania State Employees Credit Union,4.6,—,0.25%,$0,$5,0.25
Alabama Credit Union,4.5,—,0.25%,$5,$5,0.25
The Federal Savings Bank,3.4,—,0.25%,$100,$25,0.25
Service Credit Union,3.2,—,0.25%,$50,—,0.25
Technology Credit Union,4.0,$0,0.20%,$25,$25,0.2
MidFirst Bank,4.2,$4,0.20%,$10k,$100,0.2
Fort Bragg Federal Credit Union,4.4,—,0.20%,$5,$5,0.2
First American Credit Union,3.2,—,0.20%,$10k,$25,0.2
EastRise Credit Union,4.4,—,0.20%,$0,$5,0.2
Sun Canyon Bank,3.1,$5,0.20%,$25k,$250,0.2
Mohave Community Federal Credit Union,3.2,—,0.20%,$50,$50,0.2
Arizona Bank & Trust,3.8,$15,0.20%,$0,$10k,0.2
Johnson Bank,3.0,$5,0.18%,$0,$100,0.18
GECU,3.8,$0,0.15%,$100,$10,0.15
Latino Credit Union,3.9,$2,0.15%,$10,$10,0.15
Justice Federal Credit Union,2.6,—,0.15%,$20k,$5,0.15
GTE Financial,3.2,$7,0.15%,$100,$5,0.15
Grow Financial Federal Credit Union,3.7,—,0.15%,$0,$1,0.15
Northfield Bank,3.8,$8,0.15%,$0,$10,0.15
Charles Schwab Bank,4.4,$0,0.15%,$0,—,0.15
Allegacy Federal Credit Union,4.3,$0,0.15%,$0,$5,0.15
Magnifi Financial,4.3,$0,0.15%,$0,$0,0.15
Library Of Congress Federal Credit Union,3.8,—,0.15%,$0,$5,0.15
